100051968	Vorfahren	Vorfahr|Vorfahren	Vorfahr	Sie verlangen für ihre	Vorfahren	eine Art „ moralische Grabstätte “ .
113282630	Aufrufen	Aufruf|Aufrufen	Aufruf	Es sei nur an den Tenor der enttäuschenden Rede des Präsidenten von Pakistan am 27. Mai und den ungerührten Starrsinn Indiens gegenüber den	Aufrufen	zur Mäßigung seitens der höchsten politischen Ebenen erinnert .
200939618	Fällen	Fall|Fällen	Fall	Ich bin mir sehr wohl bewusst , dass in	Fällen	, in denen Drittländer - wie z.B. Italien , Libyen , Spanien und Mauretanien - kooperiert haben , konkrete Ergebnisse erzielt wurden .
120218094	Räumen	Raum|Räumen	Raum	Erstens müssen wir meiner Auffassung nach aufpassen , nicht eine Hetze gegen den Tabakkonsum zu veranstalten , beispielsweise durch ein absolutes Verbot des Rauchens in öffentlichen	Räumen	, das Verbot von Kinderspielzeug , Schokoladenzigaretten , Bonbonpfeifen und ähnlichem .
81457710	Schotten	Schott|Schotte	Schotte	Das Beste , was das Vereinigte Königreich für die Iren und die	Schotten	tun kann , ist , das ganz mangelhafte britische Autobahnnetz zu verbessern , von dem wir abhängig sind , wenn wir unsere Märkte erreichen wollen .
94287245	Weichen	Weiche|Weichen	Weiche	Denn es ist die Präsidentschaft , in der die	Weichen	für das zukünftige Gesicht Europas gestellt werden müssen :
103342206	Paaren	Paar|Paaren	Paar	Schließlich hat das Parlament mehrfach die Empfehlung ausgesprochen , gleichgeschlechtlichen Paaren dieselben Rechte zu garantieren wie	Paaren	unterschiedlichen Geschlechts sowie die registrierte Partnerschaft anzuerkennen .
150473388	Verdächtigen	Verdächtige|Verdächtigen	Verdächtige	Berichte über eine angebliche Entführung radikaler Imame in beiden Ländern erzürnen Deutschland und Italien , und in Spanien ist , wie mein Kollege soeben ausgeführt hat , eine Untersuchung zu dem Transport von	Verdächtigen	über Mallorca auf den Weg gebracht worden .
149348919	Pole	Pol|Pole	Pole	Heute , 25 Jahre danach , möchte ich als	Pole	und Europäer der Solidarność meine Ehrerbietung erweisen .
79205254	Löhnen	Lohn|Löhnen	Lohn	Damit würden lediglich Unternehmen belohnt , die Arbeit mit öffentlichen Mitteln flexibilisieren wollen , indem sie Arbeitsplätze stets in das Gebiet mit den niedrigsten	Löhnen	, den miserabelsten Arbeitsbedingungen , den günstigsten Grundstückspreisen und den laschesten Umweltschutzvorschriften verlagern .
68994121	Besuchen	Besuch|Besuchen	Besuch	Ich möchte die Zusicherung , daß der Rat angemessen vertreten sein wird , um den bei solchen	Besuchen	im Parlament üblichen Respekt zu zollen .
93551283	Erben	Erbe|Erben	Erbe	Indem das Folgerecht den Umstand ausgleicht , dass ein Kunstwerk aufgrund der Marktgesetze im Bereich der Kunst zumeist erst mit der Zeit an Wert gewinnt , während der Künstler ja nicht bis zu seinem Lebensabend warten kann , um mit seiner Kunst seinen Lebensunterhalt zu bestreiten , stellt es einen gerechten Ausgleich für die Künstler oder deren	Erben	dar .
122892851	Weichen	Weiche|Weichen	Weiche	Trotzdem sind nun die	Weichen	für einen Beitritt der Türkei gestellt , und wenn die Kriterien von Kopenhagen bis Ende 2004 erfüllt sind , wird sich meine Fraktion dafür einsetzen , dass die Regierungen ihre Zusage einhalten und die Beitrittsverhandlungen aufgenommen werden .
208014083	Besuchen	Besuch|Besuchen	Besuch	Trotz der Artikel 13 , 23 und 126 des Genfer Abkommens über die Rechte von Kriegsgefangenen , wurden die Rechte von Ghilad , der darüber hinaus auch über die französische Staatsbürgerschaft verfügt , im Hinblick auf den Empfang von	Besuchen	seiner Angehörigen und des internationalen Roten Kreuzes , eine menschliche Behandlung sowie die Preisgabe des genauen Orts , an dem er gefangen gehalten wird , nicht respektiert .
21995440	Polen	Pol|Pole|Polen	Pol	Sodann muß der Konflikt zwischen Tradition und Modernität beigelegt werden , weil nur ein ausgewogenes Gleichgewicht zwischen diesen beiden	Polen	die Möglichkeit bietet , auch die globalsten Veränderungen in den Griff zu bekommen .
79182520	Lachen	Lache|Lachen	Lachen	„ Lachen macht gutes Blut “ , was so viel heißt wie „	Lachen	ist gesund “ .
159540640	Erden	Erde|Erden	Erde	Von außen betrachtet , scheint Europa eine Art Paradies auf	Erden	zu sein , was die hohe Zahl von legalen oder illegalen potenziellen Einwanderern erklärt .
121060678	Speisen	Speise|Speisen	Speise	Aus diesem Grunde wollten das Parlament und die Kommission sicherstellen , dass die Richtlinie hauptsächlich auf den Gesundheitsschutz der Verbraucher abzielt , indem zum einen hohe Qualitäts- und Sicherheitsstandards für Heilpflanzen gefordert werden und zum anderen auf den Etiketten und Beipackzetteln einfache und klare Hinweise für den Bürger über die potenzielle Toxizität von Heilpflanzen und ihre möglichen Interaktionen mit anderen Arzneimitteln oder	Speisen	angegeben werden müssen .
163895848	Tränen	Träne|Tränen	Träne	Viele Nationen versanken in	Tränen	,
193645341	Spuren	Spur|Spuren	Spur	Wichtig sind auch die Möglichkeiten , Kriminelle anhand der	Spuren	, die sie im Internet hinterlassen , aufzuspüren .
202336741	Pole	Pol|Pole	Pole	Herr Präsident , als	Pole	fühle ich jedes Mal mein Herz schneller schlagen , wenn über die Menschenrechte in China geredet wird .
1222234	Fächer	Fach|Fächer	Fächer	Es handelt sich dabei um einen breiten	Fächer	meist klein- und mittelständischer Unternehmen , die in Bereichen wie Überwachung der Umweltbelastung , Entwicklung neuer Technologien zur Energieeinsparung oder Erbringung von Dienstleistungen im Bereich der Abfallentsorgung etc. , tätig sind .
88579600	Beweisen	Beweis|Beweisen	Beweis	Es geht darum , einem Gericht eines Mitgliedstaates die Befugnis zu erteilen , im Verlaufe eines Vorgehens bezüglich bestimmter zivil- und handelsrechtlicher Tatbestände , die in einem anderen Land der Gemeinschaft entstanden sind , darum zu ersuchen , dass das Gericht dieses Landes an der Aufnahme von	Beweisen	mitwirkt , die für das Hauptverfahren vor dem Gericht des ersuchenden Landes unerlässlich sind .
219816984	Stürmen	Sturm|Stürmen	Sturm	Eine der möglichen Ursachen , die für die Erklärung des Lecks in Erwägung gezogen wurden , war gerade das Vorhandensein von verloren gegangenen Containern , die an der Meeresoberfläche treiben und Wellen und	Stürmen	ausgeliefert sind .
52448100	Akten	Akt|Akte	Akte	In einer ähnlichen , aber doch gesonderten Frage schließt sich die Kommission der Auffassung der Berichterstatterin ebenfalls an , daß nämlich der Bürgerbeauftragte möglichst umfassenden Zugang zu für seine Untersuchungen relevanten	Akten	und Dokumenten der Gemeinschaftsinstitutionen haben muß .
21542160	Anzeigen	Anzeige|Anzeigen	Anzeige	Die Europäische Gemeinschaft finanziert teure zweiseitige	Anzeigen	in Illustrierten , in denen sie für den Qualitätshonig mit Ursprungsbezeichnung aus den Mitgliedstaaten wirbt , und zwar mit der Frage :
233631869	Spielen	Spiel|Spielen	Spiel	Auf der einen Seite hat es sich modernisiert und viele westliche Handlungsweisen übernommen , wie wir bei den Olympischen	Spielen	, bei denen ich anwesend sein durfte und die ein großer Erfolg waren , gesehen haben .
225843887	Kreisen	Kreis|Kreisen	Kreis	Aber so wie ich im Namen meiner Fraktion ganz klar und eindeutig jede Attacke gegen Christen - natürlich nicht nur diese blutigen Attacken , auch andere Diskriminierungen gegen Christen - ablehne , so möchte ich hier auch klar zum Ausdruck bringen , dass ich es sehr bedaure , dass es auch in Europa in gewissen	Kreisen	eine wachsende Islamophobie gibt , was nur noch ein Argument - ein falsches , ein nicht gültiges , aber noch ein Argument mehr - dafür ist , dass gewisse radikale Kräfte bei den Muslimen darin eine Ursache , eine Begründung , eine Rechtfertigung sehen , gegen Christen diskriminierend oder gar mit Gewalt vorzugehen .
45541736	Bomben	Bombe|Bomben	Bombe	Ich habe selbst in einer unserer Zeitungen schon gesehen , daß man die	Bomben	als „ Monica “ bezeichnet hat .
28721638	Härten	Härte|Härten	Härte	Werden die	Härten	einer einheitlichen Währung nun im Gegenteil nicht dazu führen , daß sich lokale Krisen leichter ausbreiten , und damit direkt die Stabilität in ganz Europa beeinträchtigen , wenn es zu einem harten Schock kommt ?
107113917	Sagen	Sage|Sagen	Sagen	Das ist eine ernste Angelegenheit , denn sie wirft die Fragen danach auf , wer hier im Parlament eigentlich das	Sagen	hat - die Abgeordneten oder die Verwaltung ?
154589410	Panzern	Panzer|Panzern	Panzer	Sie haben noch dort Würde gezeigt , wo sie von	Panzern	überrollt wurden .
151352345	Herden	Herd|Herde	Herde	Sollten die Zölle wie vorgeschlagen weiter gesenkt werden , dann wird die inländische Produktion zurückgehen , die	Herden	in den Mitgliedstaaten werden verschwinden und wir werden bei unserer Versorgung mit dunklem Fleisch vorwiegend von Südamerika abhängig werden .
