TOKENID	WORDFORM	LEMMACANDIDATES	GOLDLEMMA	TEXTBEFORE	WORD	TEXTAFTER
138384719	abgewogen	abwiegen|abwägen	abwägen	Des Weiteren wurde ein Änderungsantrag über ein System mildernder Umstände , bei dem die Faktoren gegeneinander	abgewogen	werden , verworfen .
144348028	abgewogen	abwiegen|abwägen	abwägen	Wir sind sicherlich alle in der schwierigen Situation , dass an einem Tag wie heute jedes Wort sehr sorgfältig	abgewogen	werden muss , und dass wir - mit welcher Formulierung auch immer operiert wird - vor allen Dingen die Würde der Opfer und die Schuld der Täter im Auge haben .
155408382	abgewogen	abwiegen|abwägen	abwägen	Im Anschluss daran haben wir eine Folgestudie erarbeitet , bei der das Für und Wider der verschiedenen Optionen	abgewogen	wurde .
15666157	abgewogen	abwiegen|abwägen	abwägen	Die Angelegenheit mußte	abgewogen	werden , ein Zurücküberweisen wäre für unsere Fraktion ein Zeichen von Inkompetenz und Unverantwortlichkeit , da es sich um ein Verfahren der Mitentscheidung handelt und wir also unsere volle legislative Befugnis ausüben können .
176912278	abgewogen	abwiegen|abwägen	abwägen	Außerdem müssen wir sicherstellen , dass die Interessen von Millionen von Verbrauchern sorgfältig gegen die zum Teil eigennützigen Interessen einer Handvoll von Erzeugern	abgewogen	werden .
179221449	abgewogen	abwiegen|abwägen	abwägen	Ich wiederhole deshalb noch einmal , dass ich die allgemeine Schlussfolgerung des Berichts dahingehend unterstütze , dass kein Beschluss gefasst wird , solange uns keine Studien vorliegen , die sämtliche Mitgliedstaaten und die verschiedenen Arten der Fischerei einbezieht , und bevor nicht eine breit angelegte Diskussion , in der alle Variablen dieser Frage	abgewogen	werden , stattgefunden hat .
20348548	abgewogen	abwiegen|abwägen	abwägen	Deshalb möchte ich statt dessen fragen , ob der Ratspräsident Überlegungen angestellt hat , inwieweit man Rechtssicherheit und polizeiliche Effektivität der Registrierungen	abgewogen	hat , die im Schengener und im AIS -System vorgenommen werden , und die das Schengen-System unter Europol ersetzen sollen .
209857992	abgewogen	abwiegen|abwägen	abwägen	Dieses Recht muss gegen das Recht des Einzelnen auf Zugang zu Informationen	abgewogen	werden .
212646744	abgewogen	abwiegen|abwägen	abwägen	Allerdings stimmt es , dass jeder Eingriff in unsere Privatsphäre gegen Sicherheit und die Effektivität der Maßnahmen und den Schutz der Menschenrechte	abgewogen	werden sollte .
215531494	abgewogen	abwiegen|abwägen	abwägen	Im Zuge der Genehmigung des Lebensmittelzusatzes Thrombin wurden von der Kommission unter Zusammenarbeit mit allen Mitgliedstaaten alle vier in der Verordnung für Lebensmittelzusatzstoffe festgehaltenen Forderungen sorgfältig	abgewogen	.
212495873	Achten	Achte|Achten	Achte	Der bedeutende Fortschritt , den wir gesehen und festgestellt haben , ist ein guter Grund für uns , den Siebenten ,	Achten	, Neunten und Zehnten Europäischen Entwicklungsfonds zu entlasten , aber wir werden weitere Verbesserungen machen müssen .
213978291	Achten	Achte|Achten	Achte	Um diese Solidarität umsetzen zu können , muss die Kommission im kommenden	Achten	Rahmenprogramm für FuE die öffentlichen Gelder erhöhen , die für die internationale Zusammenarbeit vorgesehen sind , um die Bekämpfung des Klimawandels voranzutreiben .
22253160	Achten	Achte|Achten	Achte	Wir möchten in einem Antrag , nicht nur eine Revision der	Achten	MwSt -Richtlinie , sondern auch einen gemeinsamen Steuersatz für Telekommunikationsdienstleistungen , könnte ich dann , wie es in der Antwort des Kommissars angedeutet ist , davon ausgehen , daß seine Antwort positiv ist ?
236246905	Achten	Achte|Achten	Achte	Ich hoffe , dass die im Rahmen des Bewertungsverfahrens für das Siebte Rahmenprogramm gezogenen Schlussfolgerungen die Grundlage für weitere Arbeiten am nächsten , dem	Achten	, bilden werden .
9769566	Achten	Achte|Achten	Achte	Das erklärte Ziel dieser	Achten	Richtlinie besteht zwar in der Harmonisierung des Zeitraums , in dem die Sommerzeit angewandt wird , womit ich einverstanden bin , aber auch darin , die zwischen den Mitgliedstaaten bestehenden zeitlichen Unterschiede zu bewerten .
108210521	anführe	anfahren|anführen	anführen	Gestatten Sie mir , dass ich drei Beispiele auf internationaler Ebene	anführe	:
108889610	anführen	anfahren|anführen	anführen	Da der Rat - und wie ich soeben vernommen habe , auch einige Kolleginnen und Kollegen meiner Fraktion - noch Bedenken haben , den ersten Pfeiler als Rechtsgrundlage zu wählen , werde ich einige Begründungen , mit denen ich im Übrigen die Skeptiker zu überzeugen hoffe , dafür	anführen	, weshalb wir für den ersten Pfeiler plädieren und weshalb ich empfehle , den ersten Pfeiler als Rechtsgrundlage heranzuziehen .
113031531	anführe	anfahren|anführen	anführen	Aber ich möchte diese Aussprache nicht mit einer negativen Bemerkung abschließen , indem ich all die Ungerechtigkeiten im Zusammenhang mit der Verteilung der Armut in der Welt sowie die großen Probleme des Welthandels und die Umweltprobleme	anführe	, ohne zu bedenken , dass Europa über die Fähigkeit zur Führung verfügt .
