48927609	quinte	quinta|quinto	quinta	Invece , personalmente mi trovo spesso a pensare che , in realtà , i membri della commissione per il regolamento , la verifica dei poteri e le immunità sono i manovali che lavorano dietro le	quinte	del nostro Parlamento , gli eroi dimenticati senza i quali le star politiche di questa Istituzione perderebbero ogni lustro .
95670624	sconfitta	sconfitta|sconfitto	sconfitta	Nelle elezioni politiche del 17 giugno il partito di governo , l’ UDF , ha subito una cocente	sconfitta	da una nuova forza politica , il Movimento Nazionale Simone II , del deposto Re Simeone , che riveste ora la carica di Primo Ministro con il nome di Simeon Sakskoburggotski e che per la prima volta renderà visita alle Istituzioni dell’ Unione europea e alla NATO a Bruxelles la settimana prossima .
234717365	terza	terza|terzo	terza	Nel 2010 l’ importo totale degli scambi commerciali bilaterali tra l’ UE e il Giappone ,	terza	maggiore economia nazionale al mondo in termini di PIL , è stato pari a 120 miliardi di euro , essendo il Giappone il sesto maggior partner commerciale per l’ UE e l’ UE il terzo per il Giappone .
29583654	politica	politica|politico	politica	Infine , è ingiusto sospendere l’ intera	politica	mediterranea in seguito al blocco del processo di pace in Medio oriente .
108457806	Vedova	vedova|vedovo	Vedova	La Commissione , purtroppo , si pone altre priorità e l’ esponente radicale italiano Della	Vedova	dimostra di essere un fedele seguace di quest’ Istituzione .
19662105	direttrici	direttore|direttrice	direttrice	Questo è un segno positivo ed è una buona notizia per coloro che credono in una Europa che vada oltre i mercati , che sia qualcosa di diverso da una zona di libero scambio , e vogliono costruire un autentico progetto politico federale di popoli nel quale la solidarietà nei confronti dei più sfavoriti sia una delle	direttrici	delle politiche europee .
134567385	mura	mura|muro	muro	Il programma si basa soprattutto sulla prevenzione della violenza perpetrata tra le	mura	domestiche , sulla lotta alla violenza domestica attraverso prevenzione ed istruzione , allo scopo di prevenire questo tipo di violenza e di aiutarne le vittime .
148699968	reni	rene|reni|renio	rene	La direttiva europea sui giocattoli non copre gli ammorbidenti , sospettati di danneggiare il fegato , i	reni	e gli organi riproduttivi .
157133421	fuoriuscite	fuoriuscita|fuoriuscito	fuoriuscita	Ogni anno si registrano più di 60 incidenti di petroliere e 400	fuoriuscite	illegali di petrolio .
213064390	respinta	respinta|respinto	respinta	Esiste sempre il rischio che anche la nuova versione dell’ accordo sia	respinta	, se persiste nella violazione della Carta europea dei diritti umani .
195830788	mammiferi	mammiferi|mammifero	mammifero	Ha esteso la direttiva per includere tutte le specie animali , non solo i	mammiferi	.
122790294	etere	etera|etere	etere	Occorre , comunque , ricordare che il decabromodifenil	etere	, principalmente utilizzato nei prodotti isolanti , nell’ edilizia e nei tessuti , è un ritardante di fiamma particolarmente efficace e resistente al fuoco .
112157488	quinta	quinta|quinto	quinta	La profusione di iniziative ostacola in misura crescente i lavori della nostra commissione , con il risultato che domani si dovranno verosimilmente respingere quattro delle cinque iniziative e la	quinta	sarà accolta solo a condizione che si approvino davvero gli emendamenti di Lord Stockton e di altri colleghi .
138810526	leggi	legge|leggio	legge	Il relatore ha giustamente indicato che molte delle	leggi	adottate dal Parlamento e dal Consiglio non sono state ancora attuate ;
198279296	statistiche	statistica|statistico	statistica	Signor Presidente , onorevoli colleghi , le	statistiche	migliorano .
164451076	nonna	nonna|nonno	nonna	Un giorno , rientrando dal lavoro , la mia famiglia la trovò seduta sui gradini di casa nostra , ma purtroppo mia	nonna	era già morta .
