TOKENID	WORDFORM	LEMMACANDIDATES	GOLDLEMMA	TEXTBEFORE	WORD	TEXTAFTER
vaivannäöstänne	vaiva#näkö|vaivan#näkö	vaivan#näkö	Sloveniaa PPE - DE -ryhmässä edustavan valtuuskunnan johtajana haluaisinkin ilmaista vilpittömät kiitokseni	vaivannäöstänne	ja ennen kaikkea siitä huomiosta , jota olette Slovenialle osoittanut .
perheenjäseniensä	perhe#jäsen|perheen#jäsen	perheen#jäsen	siirtotyöläisten ja heidän	perheenjäseniensä	oikeuksia koskeva yleissopimus ja kaikkinaisen rotusyrjinnän poistamista koskeva kansainvälinen yleissopimus .
Merenkulku	meren#kulku|meri#kulku	meren#kulku		Merenkulku	liittää Irlannin talouden muuhun Eurooppaan ja koko muuhun maailmaan .
ihmisalkioiden	ihminen#alkio|ihmis#alkio	ihmis#alkio	Suhtaudun myönteisesti myös siihen , että päätöslauselmassa hyväksytään äärimmäisen tärkeitä kloonauksen vastaisia ja	ihmisalkioiden	suojelua puolustavia periaatteita .
tulipaloista	tuli#pala|tuli#palo|tuli#palko	tuli#palo	Kaikki ne ihmiset , jotka ovat valitettavasti joutuneet kärsimään	tulipaloista	, valittavat sitä , että menettelyt ovat usein liian pitkiä ja että niiden täytäntöönpano kestää aivan liian kauan .
väestönkehitystä	väestön#kehitys|väestö#kehitys	väestön#kehitys	Arvoisa puhemies , minäkin haluan onnitella esittelijää mietinnöstä , jossa otetaan esiin useita tärkeitä näkökantoja siitä , mitä meidän olisi ajateltava ja kuinka meidän olisi toimittava analysoidessamme	väestönkehitystä	ajanjaksolla , joka ulottuu vuoteen 2015 saakka .
käytännönläheisiä	käytännön#läheinen|käytäntö#läheinen	käytännön#läheinen	Oletamme , että komissio esittää jatkossakin	käytännönläheisiä	ehdotuksia .
eriarvoisia	eri#arvoinen|eri#arvoisa	eri#arvoinen	toiseksi se ei ole tehtyjen sopimusten mukainen , ja kolmanneksi osakkeet , joihin liittyy	eriarvoisia	äänioikeuksia , ovat sen mukaan yritysvaltausten esteitä .
kammottavia	kammota|kammoa	kammota	Jouluiset tapahtumat , joissa miehitysjoukot keskeyttivät messun miehitetyn Kyproksen Rizokarpasossa , olivat	kammottavia	.
puheenjohtajamaa	puheen#johtaja#maa|puhe#johtaja#maa	puheen#johtaja#maa	On oikein , että EU antaa auttavan kätensä , mutta voiko	puheenjohtajamaa	Iso-Britannia selittää , kuinka se aikoo kartoittaa Algeriasta , Bahrainista ja Egyptistä peräisin olevien ryhmien toiminnan , ryhmien , jotka yksinkertaisesti lähettävät agressiivisia suunnitelmiaan maailmalle Lontoosta fakseilla .
haittapuolia	haitta#puola|haitta#puoli	haitta#puoli	Ja vain siinä tapauksessa , että	haittapuolia	on yhtä paljon kuin etuja , on otettava käyttöön varovaisuusperiaate .
työväenluokkaa	työ#väki#luokka|työ#väen#luokka	työ#väen#luokka	EKP on vastuussa sellaisen politiikan täytäntöönpanosta rahan ja luoton alalla , jossa suositaan täysin Euroopan unionin työnantajia ja sen seurauksena vastaavasti hyljeksitään	työväenluokkaa	.
