TOKENID	WORDFORM	LEMMACANDIDATES	GOLDLEMMA	TEXTBEFORE	WORD	TEXTAFTER
107593008	suites	suite|suites	suite	Monsieur le Président , ce qui est arrivé à Mme Müller devrait avoir des	suites	.
108554981	clémentines	clémentine|clémentines	clémentine	de M. García-Margallo y Marfil , au nom du groupe PPE - DE , sur les	clémentines	.
124273300	Pouilles	pouille|pouilles	Pouilles	Chers collègues , je profite de l’ occasion pour souhaiter , rapidement mais sincèrement , la bienvenue à la classe de troisième année de l’ école Don Montemurro , de Gravina (	Pouilles	) , qui a obtenu le prix « Construisons l’ Europe » , institué par la Chambre des Députés italienne .
39263027	Pouilles	pouille|pouilles	Pouilles	au cours de ces dernières semaines , rien qu’ en Italie , plus de 1500 personnes provenant du Kosovo ont débarqué sur les côtes des	Pouilles	entraînant toutes les difficultés que cela comporte en matière d’ accueil et de secours .
11524550	guides	guide|guides	guide	Ne faudrait -il pas envisager de revenir au système antérieur où des guides accompagnaient les marchandises , qu’ il s’ agisse d’ animaux morts ou vivants , de leur point de départ à leur point de destination , lesquels	guides	( comme nous les appelons chez nous ) étaient parfaitement supervisés par le vétérinaire compétent ?
121211796	serve	serf|serve	servir	Il a été convenu que la banque	serve	les objectifs fixés pour l’ Union européenne .
84115265	journaux	journal|journau	journal	Souhaitant demander que la BCE prenne note des remarques de la Cour des comptes , j’ aurais pu utiliser ce rapport pour mener des attaques contre la BCE et faire la une des	journaux	au pays , mais ce n’ était pas le rôle du rapporteur .
67271170	règles	règle|règles	règle	Car un grand pays peut compenser ses mauvaises	règles	grâce à ses régions mieux loties .
103909404	environs	environ|environs	environ	les questeurs nouvellement élus peuvent -ils dresser un inventaire des vols survenus l’ année dernière dans les	environs	du Parlement européen à Bruxelles et entreprendre une action dure envers la police afin qu’ elle prenne des mesures car je peux vous assurer que subir cela n’ est pas une partie de plaisir .
112476959	Argentine	argentin|argentine	Argentine	En outre , le soutien aux mesures gouvernementales anti-populaires en	Argentine	et la peur que celle -ci échappe à l’ emprise du FMI apparaissent clairement .
48779652	jeans	jean|jeans	jeans	J’ ai pensé que si seulement il était aussi simple que nos enfants et moi puissions nous habiller en	jeans	, nous aurions évidemment pu avoir une très très bonne collaboration avec les fabricants de jeans , qui sont actuellement dans l’ embarras .
71191924	journaux	journal|journau	journal	Cela s’ applique seulement - à ce que j’ ai compris - aux animaux excrétant des agents pathogènes ingérés avec la nourriture contaminée , et non pas , comme l’ ont supposé certains	journaux	, aux animaux couvant cette maladie ou en souffrant .
84431762	baie	bai|baie	baie	Ces écologistes sont encore en détention et , comme le Parlement s’ est montré , pour ainsi dire , peu sensible envers la sauvegarde des intérêts des citoyens des environs de Gibraltar et de la	baie	d’ Algésiras , je demande que le nécessaire soit fait afin que ces pacifistes écologistes puissent dormir chez eux .
165256299	coordonnées	coordonnée|coordonnées	coordonnées	Que pense la Commission de la prolifération des sites web à contenu haineux et , en particulier , de ceux qui incitent à la haine , comme les sites racistes , antisémites et anti-Roms , qui parfois même indiquent les noms et les	coordonnées	d’ activistes qui , de ce fait , peuvent être contactés ?
24320656	cours	cour|cours	cours	La journée internationale de la Femme , au	cours	de laquelle non seulement des femmes sont descendues dans la rue mais aussi des hommes dont je faisais partie , jette une lumière crue sur le fondamentalisme islamique .
7112937	directrice	directeur|directrice	directrice	Il convient ici de souligner tout particulièrement que le succès de la procédure de conciliation est le résultat de la coordination et de la direction extraordinaires de Nicole Fontaine , représentante et	directrice	des négociations au Parlement , mais également de l’ accueil largement favorable de notre position par la présidence néerlandaise en la personne de Mme Joritsma , ainsi que du conseil de la Commission en la personne du commissaire Bangemann .
27289974	postes	poste|postes	poste	Je félicite Mme Dührkop pour sa concision ainsi que pour avoir le courage d’ introduire des orientations utiles mais limitées dans un certain nombre de	postes	.
8992244	bruit	bruir|bruire	bruit	Monsieur le Président , le	bruit	n’ est pas seulement constitutif de la culture urbaine , comme l’ a dit notre estimée collègue et rapporteur , il l’ est aussi de la culture touristique d’ aujourd’hui - d’ un tourisme de masse le plus souvent , principalement sur le littoral .
134140528	communs	commun|communs	commun	Pourtant , les fonds financiers	communs	devraient être gérés avec une prudence plus grande encore que des fonds personnels , étant donné que tout gaspillage d’ argent revient toujours à en priver les membres les plus démunis de la société .
82583782	échecs	échec|échecs	échec	Je crois que les deux	échecs	sont le manque de démocratie , parce que la possibilité d’ ouvrir le Conseil à l’ examen du public a été ignorée alors que nombre d’ entre nous sentent que le temps était venu de le faire , et l’ illogisme de la repondération des votes , avec une approche pour le Conseil et une autre pour le Parlement européen .
204565596	serve	serf|serve	servir	Nous devrions nous efforcer de promouvoir ces moyens de réglementation des relations procédurales dans les affaires pénales pour garantir les droits précités à toutes les parties des procès pénaux , parties victimes et lésées ou contrevenants , afin d’ obtenir un jugement équitable et démocratique qui	serve	pleinement toutes les peines prononcées , à savoir non seulement la répression mais également la réhabilitation sociale et l’ éducation .
130425384	communs	commun|communs	commun	Les objectifs	communs	fixés sont si ambitieux , dans le domaine de l’ utilisation des sources d’ énergie renouvelable par exemple , que leur concrétisation dépend essentiellement des États membres .
64783205	communs	commun|communs	commun	Le nombre d’ obstacles reste identique , mais je suis convaincue qu’ au rythme où le travail de législation se poursuit , nous atteindrons nos objectifs	communs	en vue d’ élaborer une politique de l’ eau dont nous pourrons être fiers .
132325874	bruit	bruir|bruire	bruit	On appelle ce dispositif un eco-silencer , car il diminue aussi sensiblement le	bruit	émis .
20210510	bienvenue	bienvenu|bienvenue	bienvenu	Je voudrais souhaiter la	bienvenue	au Président en exercice du Conseil européen et premier ministre luxembourgeois M. Jean-Claude Juncker .
